ACCIDENT_NO,SEVERITY,LGA_NAME,LATITUDE,LONGITUDE
T20140013561,severe,knox,-37.940342,145.229279
T20140013582,severe,port phillip,-37.842079,144.9624
T20140013588,severe,monash,-37.915182,145.11003
T20140013593,severe,darebin,-37.740127,145.023362
T20140013598,severe,casey,-38.081144,145.267709
T20140013599,severe,knox,-37.843041,145.298051
T20140013601,severe,brimbank,-37.751591,144.832637
T20140013609,severe,knox,-37.850369,145.269016
T20140013611,severe,manningham,-37.759386,145.132441
T20140013616,severe,yarra,-37.815392,144.999755
T20140013620,severe,knox,-37.847471,145.2266
T20140013624,severe,kingston,-37.965665,145.057795
T20140013627,severe,monash,-37.93487,145.193099
T20140013628,severe,cardinia,-38.182973,145.600779
T20140013637,severe,brimbank,-37.69506,144.766076
T20140013791,severe,moreland,-37.705341,144.915925
T20140013929,severe,yarra,-37.8005,144.992877
T20140016448,severe,port phillip,-37.86937,144.980798
T20140014354,severe,casey,-37.986493,145.249595
T20140013703,severe,darebin,-37.75336,145.010909
T20140013706,severe,hume,-37.59882,144.930082
T20140013709,severe,casey,-38.110084,145.258363
T20140013717,severe,monash,-37.894249,145.087966
T20140013722,severe,monash,-37.857563,145.131436
T20140013725,severe,boroondara,-37.79326,145.01646
T20140016480,severe,manningham,-37.768133,145.094914
T20140013680,severe,melbourne,-37.809854,144.966749
T20140013673,severe,moreland,-37.747029,144.948779
T20140013682,severe,melbourne,-37.8159,144.96515
T20140014348,severe,kingston,-38.0108,145.140791
T20140014290,severe,moonee valley,-37.71886,144.892102
T20140014066,severe,hume,-37.689501,144.95824
T20140013686,severe,moreland,-37.757537,144.93535
T20140013653,severe,whitehorse,-37.833489,145.135776
T20140013689,severe,casey,-38.069299,145.268382
T20140013912,severe,melbourne,-37.821833,144.951835
T20140013903,severe,melbourne,-37.832101,144.971705
T20140013898,severe,melbourne,-37.801202,144.952033
T20140013737,severe,boroondara,-37.79077,145.09446
T20140013746,severe,moreland,-37.74432,144.935522
T20140013747,severe,maribyrnong,-37.802614,144.885383
T20140013757,severe,monash,-37.88282,145.146393
T20140013768,severe,darebin,-37.736583,144.990301
T20140013771,severe,melbourne,-37.795177,144.936624
T20140013773,severe,monash,-37.917058,145.14714
T20140013781,severe,melbourne,-37.82672,144.92905
T20140013792,severe,melbourne,-37.814426,144.954826
T20140013935,severe,hume,-37.699561,144.887875
T20140013947,severe,kingston,-37.97657,145.066551
T20140014099,severe,melbourne,-37.814695,144.957763
T20140014109,severe,brimbank,-37.726606,144.773402
T20150009374,severe,stonnington,-37.85858,145.044545
T20140013803,severe,darebin,-37.73273,145.024877
T20140013804,fatal,melbourne,-37.827305,144.925047
T20140013858,severe,kingston,-37.942765,145.136068
T20140013850,severe,stonnington,-37.85042,144.984241
T20140013857,severe,casey,-38.07453,145.335626
T20140014074,severe,moreland,-37.714989,144.923969
T20140013823,severe,manningham,-37.775234,145.164443
T20140013876,severe,monash,-37.874796,145.171233
T20140013822,fatal,casey,-37.998746,145.282911
T20140013871,severe,brimbank,-37.816458,144.850129
T20140013950,severe,kingston,-38.026468,145.132497
T20140015238,severe,hume,-37.582015,144.727678
T20140013811,severe,cardinia,-38.078384,145.473786
T20140015749,severe,darebin,-37.750477,145.016218
T20140013841,severe,whitehorse,-37.81438,145.176649
T20140013859,severe,melbourne,-37.826521,144.93006
T20140013853,severe,moonee valley,-37.748472,144.862343
T20140013834,severe,monash,-37.914528,145.167903
T20140013895,severe,melbourne,-37.825621,144.93675
T20140013913,severe,kingston,-37.926294,145.100706
T20140013880,severe,boroondara,-37.794286,145.063824
T20140014514,severe,casey,-38.083048,145.277005
T20140014220,severe,monash,-37.932532,145.156219
T20140013886,severe,yarra,-37.809611,144.991371
T20140013887,severe,moonee valley,-37.767959,144.92746
T20140013888,severe,melbourne,-37.814393,144.971633
T20140015670,severe,brimbank,-37.714557,144.834424
T20140013890,severe,hume,-37.690271,144.881758
T20140015889,severe,maribyrnong,-37.768931,144.877559
T20140013940,severe,knox,-37.883114,145.285856
T20140016388,severe,darebin,-37.774382,145.018898
T20140013949,severe,monash,-37.88522,145.131895
T20140013954,severe,brimbank,-37.707326,144.870961
T20140013970,severe,knox,-37.86291,145.214537
T20140013972,severe,manningham,-37.77236,145.104761
T20140013978,severe,hume,-37.693039,144.894869
T20140013981,severe,darebin,-37.737971,145.004006
T20140013986,fatal,boroondara,-37.80534,145.082787
T20140013988,severe,casey,-38.004309,145.252458
T20140014003,severe,whitehorse,-37.850654,145.098036
T20140014007,severe,yarra,-37.797881,144.987579
T20140020887,severe,manningham,-37.80417,145.178028
T20140014366,severe,maribyrnong,-37.780289,144.85691
T20140017222,severe,hume,-37.597744,144.930129
T20140014075,severe,darebin,-37.745086,145.002847
T20170006009,severe,manningham,-37.788043,145.107101
T20140014092,severe,monash,-37.895197,145.14404
T20140014127,severe,port phillip,-37.844841,144.942359
T20140014200,severe,moreland,-37.769483,144.94423
T20140014049,severe,maribyrnong,-37.789142,144.890652
T20140016861,severe,melbourne,-37.813058,144.971014
T20140014031,severe,boroondara,-37.824786,145.087541
T20140014027,severe,yarra,-37.783308,144.983847
T20140014494,severe,melbourne,-37.822053,144.932715
